organisation,org_acronym,org_type
Bello Danlami,BD,IMO
Achieving Health Nigeria Initiative,AHNi,NNGO
ACTED International,ACTED,INGO
Action Against Hunger,AAH/ACF,INGO
Action Health Incorporated,AHI,NNGO
Action Initiative for Peace and Development,AIPD,NNGO
ActionAid International,ActionAid,INGO
Actionaid Nigeria,AAN,NNGO
Adamawa Agriculture Development Programme,AADP,Govt
Adamawa Ministry of Women Affairs and Social Development,MWASD,Govt
Adamawa People Living with Disabilities and Vulnerable Support Initiative,APWDVSI,NNGO
Adamawa State Primary Health Care Development Agency,ASPHCDA,Govt
Adamawa State Primary Health Care Management Board,ADSPHCMB,Govt
Adventist Development and Relief Agency,ADRA,INGO
Africa Initiative for Children with Disability,AIFCWD,NNGO
African Development Bank,AFDB,INGO
African Health Care Facilitation Foundation,AHCFF,NNGO
African Health implementation foundation facilitation,AHIFF,NNGO
African Humanitarian Aid International,AHAI,NNGO
African Youth for Peace Development and Empowerment Foundation,AFRYDEV,NNGO
Against All Odds Foundation,AAOF,NNGO
Agaji Global Unity Foundation,AGUF,NNGO
Agency for Technical Cooperation and Developmenet,ATCD,NNGO
Agricultural Development Programme,ADP,Govt
Aid Initiative to support vulnerable and idle people,AISVIP,NNGO
Albarka Health Spring Foundation,AHSF,NNGO
Allamin Foundation for Peace and Development,AFPD,NNGO
"Ambassadors Of Dialogue, Climate and Reintegration",DCR,NNGO
American University Of Nigeria,AUN,NNGO
Association of Civil Society Organisations on Malaria Immunization and Nutrition,ACOMIN,NNGO
Assured Better Life Initiative,ABLI,NNGO
Boaid Humanitarian Foundation,BHF,NNGO
Borno State Agriculture Development Programme,BSADP,Govt
Borno State Aid Humanitarian Foundation,BOAID,NNGO
Borno State Hospital Management Board,BSHMB,Govt
Borno State Primary Health Care Development Agency,BSPHCDA,Govt
Borno Women Development Initiative,BOWDI,NNGO
British Council,BC,INGO
Care Aid Support Initiative,CARE AID,NNGO
Care Best Initiative,CBI,NNGO
Care Best International,CBII ,INGO
Care International,CARE,INGO
Caritas Consortium,Caritas C,NNGO
Caritas Germany,CG,INGO
Caritas Internationalis,CARISTAS,INGO
Caritas Nigeria,CN,NNGO
Catholic Agency for Overseas Development,CAFOD,INGO
Catholic Caritas Foundation of Nigeria,CCFN,NNGO
Catholic Relief Services,CRS,INGO
Christian Blind Mission International,CBM,INGO
"Center for Advocacy, Transparency and Accountability Initiative",CATAI,NNGO
Center for Change and Economic Development,CCED,NNGO
Center for Community Health Development,CCHD,NNGO
"Centre for Caring, Empowering and Peace Initiative",CCEPI,NNGO
Centre for Community Development and Research Network,CCDRN,NNGO
Centre for Integrated Development and Research,CIDAR,NNGO
Centre for Social Change and Economic Development,CSCED,INGO
"Centre for Social Cohesion, Peace and Empowerment",CENSCOPE,INGO
Chabash Development and Health Initiative,CDHI,NNGO
Center for Community and Health Development International,CHAD,NNGO
Child Protection and Peer Learning Initiative,CPPLI,NNGO
Child Protection and Women Empowerment Initiative,CPWEI,NNGO
Christain Aid Uk,CAID UK,INGO
Christian Aid,CA,INGO
Christian Blind Mission,CBM,INGO
Christian Rural and Urban Development Association Of Nigeria,CRUDAN,NNGO
Civil Society Action Coalition on Education for All,CSACEFA,NNGO
Civil Society Coalition for Poverty Eradication,CISCOPE,NNGO
Civil Society Legislative Advocacy Centre,CISLAC,NNGO
Cohort for Existential Emergency Relief,CEER,NNGO
"Communal Conservation Friendly, Health and Social Development Support Initiative ",COCOSOHDI,NNGO
Community Empowerment and Peace Building Foundation for Women and Youth,CEFOWA,NNGO
"Community Health, Justice and Peace Initiative for Development",JDPH,NNGO
Concern for Women and Children Development Foundation,COWACDI,NNGO
Concern on Climate Change for the Community Initiative,FOURCi,NNGO
Cooperazione Internazionale,COOPI,INGO
Cosmic Nudge Empowerment Foundation,CNEF,NNGO
Damnaish Human Capacity Building Initiative,DHCBI,NNGO
Danish Demining Group,DDG,INGO
Danish Refugee Council,DRC,INGO
Delight Affection Foundation,DAF,NNGO
Demo Organization,DO,NNGO
Diamond Development Initiatives,DDI,NNGO
Dobiyan Women and Youth Empowerment Initiative,DWYI,NNGO
Dutch Jewish Humanitarian Fund,JHF,INGO
Ekklesiyar Yan'uwa a Nigeria,EYN,NNGO
El-Kanemi Memorial Foundation,EKMF,Govt
Equity Humanitarian and Resilience Support Initiatives,EHARSI,NNGO
Every Girl Initiative,EGI,NNGO
Fal-Mal Hope Initiative,Fal-Mal,NNGO
Family Health International,FHI360,INGO
Federal Neuro-Psychiatric Hospital,FNPH,Govt
Federation of International Women Lawyers,FoIWL,NNGO
Federation of Muslim Women's Associations in Nigeria,FOMWAN,NNGO
Finpact Development Foundation,FINDEF,NNGO
First Step Action for Children Initiative,FSACI,NNGO
Food and Agriculture Organisation,FAO,UN Agency
Foundation for Refugee Economic Empowerment,FREE,NNGO
Frad Foundation,FF,NNGO
Future Resilience and Development Foundation,FRAD,NNGO
"Gender Equality, Peace and Development Centre",GEPaDC,NNGO
German Federal Ministry for Economic Cooperation and Development,BMZ,INGO
Gibran Books and Values Society,GBVS,NNGO
Global Aid for Rural Initiative,GRI,NNGO
Global Education in Emergency Support Initiative,GEESI,NNGO
Global Grassroots Succour Initiative,GGSI,NNGO
"Global Palliative Care, education, and Development Initiative",GPCEDI,NNGO
Global Village Healthcare Initiative for Africa,GHIV AFRICA,NNGO
Goal Prime Organisation Nigeria,GPON,NNGO
Goggoji Zumunchi Development Initiative,GZDI,NNGO
Grassroot Initiative for Strengthening Community Resilience,GISCOR,NNGO
Grassroot Researchers Association,GRA,NNGO
Green Concern for Development,GREENCODE,NNGO
Green Environmental Support and Development Initiative Nigeria,GESDIN,NNGO
Green Generation Initiative,GGI,NNGO
Grow Strong Foundation,GSF,NNGO
Guildance Community Development Foundation,GCDF,NNGO
Hallmark Leadership Initiative,HALI,NNGO
Health Care Development Focus Initiative,HECADF,NNGO
Heartland Alliance International,HAI,INGO
Hearty Helping Hand Initiative,HHHI,NNGO
Heed the Child Initiative,HCI,NNGO
Helen Keller International,HKI,INGO
Herwa Community Development Initiative,HCDI,NNGO
HI,HI,NNGO
Hope 360,HOPE360,NNGO
Hope and Awareness Foundation,HAAF,NNGO
Hope and Rural Aid Foundation,HRAF,NNGO
Horn of Hope Vision for Peace and Cummunity Development of Nigeria,HOHVIPAD,NNGO
Hospital Management Board,HMB,Govt
"Hyelasinta Women, Children and Youth Initiative",HWCYI,NNGO
Imperative Initiative for Motivation of Global Care,IIMGC,NNGO
Integrated Aid Initiative,IAI,NNGO
Inter Action Initiative for Community Development,iAction,NNGO
Inter Community Development Social Organization,ICDSO,NNGO
Inter Community for African Development Initiative,IADI,NNGO
Intercommunity Development Social Organization,IDS,NNGO
International Alert,IA,INGO
"International Centre for Energy, Environment & Development",ICEED,NNGO
International Committee of the Red Cross,ICRC,INGO
International Federation of Red Cross and Red Crescent Societies,IFRC,INGO
International Federation of Women Lawyers,FIDA,INGO
International Medical Corps,IMC,INGO
International Organisation for Migration,IOM,UN Agency
International Potato Center,CIP,INGO
International Rescue Committee,IRC,INGO
Intersos Humanitarian Aid Organization,INTERSOS,INGO
Jami Al Hakeem Foundation,JAHF,NNGO
Janna Health Foundation,JHF,NNGO
Jen Initiative for Integrity and Development,JIID,NNGO
Jesuit Refugee Service,JRS,INGO
Jireh Doo Foundation,JDF,NNGO
Justice Development and Peace Commission,JDPC,NNGO
Justice Development Peace and Health Programme,JDPH,NNGO
Justice Peace and Reconciliation Movement,JPRM,NNGO
Kalthum Foundation for Peace,KFP,NNGO
Kanem Borno Human Development Association,KABHUDA,NNGO
Kishimi Shelter and Care Foundation,KSCF,NNGO
Learning Through Skills Acquisition Initiative,LETSAI,NNGO
Life at Best Development Initiative,LABDI,NNGO
Life Helpers Initiative,LHI,NNGO
Life Saving Grassroots Outreach,LESGO,NNGO
Lindii Peace Foundation,LINDII,NNGO
Local Communities Development Initiative,LCDI,NNGO
Maiduguri Linguistic Centre,MLC,NNGO
Maigoje Foundation,MF,NNGO
Mal,MAL,INGO
Malteser International,MI,INGO
Mary Dinah Foundation,MDF,NNGO
Medecins du Monde,MdM,INGO
Medecins du Monde Belgium,MdM - Belgium,INGO
Medecins du Monde France,MdM - France,INGO
Medecins Sans Frontieres,MSF,INGO
Medecins Sans Frontieres Belgium,MSF - Belgium,INGO
Medecins Sans Frontieres France,MSF - France,INGO
Medecins Sans Frontieres Operational Centre Geneva ,MSF OCB,INGO
Medecins Sans Frontieres Spain,MSF,INGO
Medecins Sans Frontieres Switzerland,MSF - Swiss,INGO
Mercy Corps,MC,INGO
Mercy Vincent Foundation,MVF,NNGO
Mine Action Group,MAG,INGO
Mines Advisory Group,MAG,INGO
Mines Advisory Group International,MAGI,INGO
Ministry of Education,MoE,Govt
"Ministry of Local Government and Emirate Council Affairs, Borno",MLGECAB,Govt
"Ministry of Reconstruction, Rehabilitation and Reconciliation",MRRR,Govt
Ministry of Religious Affiars,MoRA,Govt
Ministry Of Women Affairs and Social Development,MoWASD,Govt
Monclub International,Monclub,NNGO
Multi Aid and Charity Initiative,MACI,NNGO
Mwada Gana Foundation,MGF,NNGO
National Data Archive Centre,NADA,Govt
National Emergency Management Agency,NEMA,Govt
National Human Rights Commission,NHRC,Govt
National Population Commission of Nigeria,NPCN,Govt
National Youth Council Of Nigeria,NYCoN,NNGO
NEEM Foundation,NF,NNGO
Ngarawa Initiative for Community Development Foundation,NICDF,NNGO
Nigeria Bar Association,NBA,Govt
Nigerian Red Cross Society,NRCS,NNGO
Nira Community Development Foundation,NCDF,NNGO
Nkafamiya Rescue Mission,NRM,NNGO
North East Regional Initiative,NERI,NNGO
North East Youth Initiative Forum,NEYIF,NNGO
Norwegian Church Aid,NCA,INGO
Norwegian Refugee Council,NRC,INGO
Novel Alliance for Development Aid,NADA,NNGO
Oxfam International,OXFAM,INGO
Pastoral Resolve,PARE,NNGO
Peace Restoration and Integral Global Development Initiative,PRIDE,NNGO
Peacebuilding and Livelihood Restoration Initiative ,PALRI,NNGO
Plan International,PI,INGO
Precious Pride and Great Work,PPGW,NNGO
Premiere Urgence Internationale,PUI,INGO
Pride Initiative,PRIDE,NNGO
Primary Health Care,PHC,Govt
Propcom Maikafi,PM,NNGO
Protection Without Borders,PRWB,INGO
RAHAMA,RAHAMA,NNGO
Rehabilitation Empowerment and Better Health Initiative,REBHI,NNGO
Relief Rescue initiative,IRR,INGO
Restoration of Hope Initiative,RoHI,NNGO
Revival In Africa Foundation,RIA,NNGO
Rise To Inspire Africa Initiative,RIAI,INGO
Royal Heritage Health Foundation,RHHF,NNGO
SAHaRA,SAHaRA,NNGO
Salient Humanitarian Organisation,SHO,NNGO
Samaritan Care and Support Initative,SCSI,NNGO
Samaritan Care International,SC-Int,INGO
Sanitation and Hygiene Education Initiative,SAHEI,NNGO
Save the Children International,SCI,INGO
Save the Slum Initiative,STSI,NNGO
Search for Common Ground,SFCG,INGO
Secours Islamique France,SIF,INGO
Sheriff Aid Foundation,SAF,NNGO
Sirri Care Foundation,SCF,NNGO
Smiling Hearts International,SHI,NNGO
Social Action Nigeria,SAN,NNGO
Social Welfare Network Initiative,SWNI,NNGO
Society for Family Health,SFH,NNGO
Society for Women and Girl Child Empowerment,SWOGE,NNGO
Solidarites International,SI,INGO
SOS Children's Villages,SOS,INGO
SOS Children's Villages Nigeria,SOSCVN,NNGO
State Agency for Mass Education,SAME,Govt
State Emergency Management Agency,SEMA,Govt
State Government,SG,Govt
State Ministry Of Health,SMoH,Govt
State Ministry of Local Government and Emirate Council Affairs,SMoLGECA,Govt
State Ministry of Women Affairs and Social Development,SMoWASD,Govt
State Ministry Youth Social Support and Community Development,SMYSSCD,Govt
State Primary Health Care Development Agency,SPHCDA,Govt
State Universal Basic Education Board,SUBEB,Govt
Street Child,SC,INGO
Street Child of Nigeria,SCoN,NNGO
Street watch initiative for Humanitarian service and development,SWIHSD,NNGO
Supertouch Kindness Foundation,SKF,NNGO
Sustainable Development for Community Base Initiative,SDCBI,NNGO
Swift Relief Foundation,SRF,NNGO
Taimako Community Development Initiative,TCDI,NNGO
Taimako Initiative for Youth and Women Development,TIWOD,NNGO
Tearfund,TEARFUND,INGO
Terre Des Hommes,TDH,INGO
The Alliance for International Medical Action,ALIMA,INGO
The Big Smile Foundation,TBSF,NNGO
The International Federation of Red Cross and Red Crescent Societies,IFRC,INGO
The National Agency for the Prohibition of Trafficking in Persons,NAPTIP,Govt
The Pastoral Resolve,PARE,NNGO
The Society for Human Advancement and Disadvantaged Empowerment,SHADE,INGO
Today for Tomorrow,TFT,NNGO
Touch A Heart Social and Economic Rights Initiative,TAHSERI,NNGO
Transcultural Psychosocial Organisation,TPO,INGO
United Nations Development Programme,UNDP,UN Agency
"United Nations Educational, Scientific and Cultural Organization",UNESCO,UN Agency
United Nations High Commissioner for Refugees,UNHCR,UN Agency
United Nations Mine Action Service,UNMAS,UN Agency
United Nations Office for the Coordination of Humanitarian Affairs,UNOCHA,UN Agency
United Nations Population Fund,UNFPA,UN Agency
United Nations Programme on HIV and AIDS,UNAIDS,UN Agency
United Nations Women,UNWomen,UN Agency
United Nations International Children's Emergency Fund,UNICEF,UN Agency
University Of Maiduguri,UNIMAID,Govt
Victims Support Fund,VSF,NNGO
Voluntary Service Overseas International,VSOI,INGO
Water Supply and Sanitation Initiative,WASSI,NNGO
Wazobia Humaintarian Foundation,WzHF,NNGO
Women and Youth Empowerment for Advancement and Health Initiative,WYEAHI,NNGO
Women and Youths Empowerment Initiative,WYEI,NNGO
Women In the New Nigeria and Youth Empowerment Initiative,WiNN,NNGO
Women's Right to Education Programme,WREP,NNGO
World Food Programme,WFP,UN Agency
World Health Organization,WHO,UN Agency
World Heart Federation,WHF,INGO
Worthy Plan Empowerment Initiative,WPEI,NNGO
Yerwa Empowerment Foundation,YEF,NNGO
Yobe Peace and Community Development Initiative,YOPCODI,NNGO
Yobe State Agriculture Development Programme,YSADP,Govt
Yobe State Emegrency Management Agency,YSEMA,Govt
"Yobe State Ministry of Youth, Sport and Social Development",YSMYSSD,Govt
Yobe State Primary Health Care Management Board,YBSPHCMB,Govt
Young Prodigy Humanitarian Organization,YPHO,NNGO
Youth Awaken Foundation,YAF,NNGO
Youth Council,YC,NNGO
Youth Federation for World Peace,YFWP,NNGO
Youth Integrated for Positive Development Initiative,YIPDI,NNGO
Zireenza Support Foundation,ZSF,NNGO
Zoa International,ZOA,INGO
